LexToken(ID,'mensaje',39,975)
LexToken(ASSIGN_OPERATOR,'=',39,983)
LexToken(STRING,'Sistema operativo en línea.',39,985)
LexToken(SEMICOLON,';',39,1014)
LexToken(RBRACE,'}',40,1020)
LexToken(ID,'print',42,1027)
LexToken(LPARENTHESIS,'(',42,1032)
LexToken(STRING,'\nMensaje: $mensaje',42,1033)
LexToken(RPARENTHESIS,')',42,1053)
LexToken(SEMICOLON,';',42,1054)
LexToken(RBRACE,'}',44,1061)
