LexToken(VOID,'void',1,0)
LexToken(ID,'main',1,5)
LexToken(LPARENTHESIS,'(',1,9)
LexToken(RPARENTHESIS,')',1,10)
LexToken(LBRACE,'{',1,12)
LexToken(STRING_TYPE,'String',3,52)
LexToken(ID,'studentName',3,59)
LexToken(ASSIGN_OPERATOR,'=',3,71)
LexToken(STRING,'Alex Vizuete',3,73)
LexToken(SEMICOLON,';',3,87)
LexToken(INT_TYPE,'int',4,91)
LexToken(ID,'studentID',4,95)
LexToken(ASSIGN_OPERATOR,'=',4,105)
LexToken(INT,1023,4,107)
LexToken(SEMICOLON,';',4,111)
LexToken(LIST_TYPE,'List',5,115)
LexToken(LESS_THAN,'<',5,119)
LexToken(INT_TYPE,'int',5,120)
LexToken(GREATER_THAN,'>',5,123)
LexToken(ID,'grades',5,125)
LexToken(ASSIGN_OPERATOR,'=',5,132)
LexToken(LBRACKET,'[',5,134)
LexToken(INT,85,5,135)
LexToken(COMMA,',',5,137)
LexToken(INT,90,5,139)
LexToken(COMMA,',',5,141)
LexToken(INT,78,5,143)
LexToken(COMMA,',',5,145)
LexToken(INT,92,5,147)
LexToken(RBRACKET,']',5,149)
LexToken(SEMICOLON,';',5,150)
LexToken(MAP_TYPE,'Map',6,154)
LexToken(LESS_THAN,'<',6,157)
LexToken(STRING_TYPE,'String',6,158)
LexToken(COMMA,',',6,164)
LexToken(STRING_TYPE,'String',6,166)
LexToken(GREATER_THAN,'>',6,172)
LexToken(ID,'subjectCodes',6,174)
LexToken(ASSIGN_OPERATOR,'=',6,187)
LexToken(LBRACE,'{',6,189)
LexToken(STRING,'math',6,190)
LexToken(COLON,':',6,196)
LexToken(STRING,'MTH101',6,198)
LexToken(COMMA,',',6,206)
LexToken(STRING,'science',6,208)
LexToken(COLON,':',6,217)
LexToken(STRING,'SCI102',6,219)
LexToken(RBRACE,'}',6,227)
LexToken(SEMICOLON,';',6,228)
LexToken(BOOL_TYPE,'bool',7,232)
LexToken(ID,'isEnrolled',7,237)
LexToken(ASSIGN_OPERATOR,'=',7,248)
LexToken(BOOL,True,7,250)
LexToken(SEMICOLON,';',7,254)
LexToken(CONST,'const',8,258)
LexToken(DOUBLE_TYPE,'double',8,264)
LexToken(ID,'maxScore',8,271)
LexToken(ASSIGN_OPERATOR,'=',8,280)
LexToken(DOUBLE,100.0,8,282)
LexToken(SEMICOLON,';',8,287)
LexToken(DOUBLE_TYPE,'double',9,291)
LexToken(ID,'total',9,298)
LexToken(ASSIGN_OPERATOR,'=',9,304)
LexToken(DOUBLE,0.0,9,306)
LexToken(SEMICOLON,';',9,309)
LexToken(DOUBLE_TYPE,'double',10,313)
LexToken(ID,'average',10,320)
LexToken(ASSIGN_OPERATOR,'=',10,328)
LexToken(DOUBLE,0.0,10,330)
LexToken(SEMICOLON,';',10,333)
LexToken(STRING_TYPE,'String',11,337)
LexToken(ID,'result',11,344)
LexToken(ASSIGN_OPERATOR,'=',11,351)
LexToken(STRING,'',11,353)
LexToken(SEMICOLON,';',11,355)
LexToken(STRING_TYPE,'String',12,359)
LexToken(ID,'comment',12,366)
LexToken(ASSIGN_OPERATOR,'=',12,374)
LexToken(NULL,None,12,376)
LexToken(SEMICOLON,';',12,380)
LexToken(PRINT,'print',15,407)
LexToken(LPARENTHESIS,'(',15,412)
LexToken(STRING,'Evaluating: $studentName (ID: $studentID)',15,413)
LexToken(RPARENTHESIS,')',15,456)
LexToken(SEMICOLON,';',15,457)
LexToken(PRINT,'print',16,461)
LexToken(LPARENTHESIS,'(',16,466)
LexToken(STRING,'Enrolled: $isEnrolled',16,467)
LexToken(RPARENTHESIS,')',16,490)
LexToken(SEMICOLON,';',16,491)
LexToken(FOR,'for',19,517)
LexToken(LPARENTHESIS,'(',19,521)
LexToken(INT_TYPE,'int',19,522)
LexToken(ID,'i',19,526)
LexToken(ASSIGN_OPERATOR,'=',19,528)
LexToken(INT,0,19,530)
LexToken(SEMICOLON,';',19,531)
LexToken(ID,'i',19,533)
LexToken(LESS_THAN,'<',19,535)
LexToken(ID,'grades',19,537)
LexToken(DOT,'.',19,543)
LexToken(ID,'length',19,544)
LexToken(SEMICOLON,';',19,550)
LexToken(ID,'i',19,552)
LexToken(INCREMENT,'++',19,553)
LexToken(RPARENTHESIS,')',19,555)
LexToken(LBRACE,'{',19,557)
LexToken(ID,'total',20,563)
LexToken(PLUS_EQUALS,'+=',20,569)
LexToken(ID,'grades',20,572)
LexToken(LBRACKET,'[',20,578)
LexToken(ID,'i',20,579)
LexToken(RBRACKET,']',20,580)
LexToken(SEMICOLON,';',20,581)
LexToken(RBRACE,'}',21,585)
LexToken(ID,'average',23,590)
LexToken(ASSIGN_OPERATOR,'=',23,598)
LexToken(ID,'total',23,600)
LexToken(DIVIDE,'/',23,606)
LexToken(ID,'grades',23,608)
LexToken(DOT,'.',23,614)
LexToken(ID,'length',23,615)
LexToken(SEMICOLON,';',23,621)
LexToken(IF,'if',25,626)
LexToken(LPARENTHESIS,'(',25,629)
LexToken(ID,'average',25,630)
