LexToken(IF,'if',66,749)
LexToken(LPARENTHESIS,'(',66,752)
LexToken(ID,'average',66,753)
LexToken(GREATER_THAN_OR_EQUALS,'>=',66,761)
LexToken(INT,70,66,764)
LexToken(RPARENTHESIS,')',66,766)
LexToken(LBRACE,'{',66,768)
LexToken(ID,'result',67,774)
LexToken(ASSIGN_OPERATOR,'=',67,781)
LexToken(STRING,'Fair',67,783)
LexToken(SEMICOLON,';',67,789)
LexToken(RBRACE,'}',68,793)
LexToken(ELSE,'else',68,795)
LexToken(LBRACE,'{',68,800)
LexToken(ID,'result',69,806)
LexToken(ASSIGN_OPERATOR,'=',69,813)
LexToken(STRING,'Fail',69,815)
LexToken(SEMICOLON,';',69,821)
LexToken(RBRACE,'}',70,825)
LexToken(COMMENT_LINE,'// RP',72,828)
LexToken(IF,'if',73,836)
LexToken(LPARENTHESIS,'(',73,839)
LexToken(ID,'result',73,840)
LexToken(EQUALS,'==',73,847)
LexToken(STRING,'Fail',73,850)
LexToken(RPARENTHESIS,')',73,856)
LexToken(LBRACE,'{',73,858)
LexToken(ID,'comment',74,864)
LexToken(ASSIGN_OPERATOR,'=',74,872)
LexToken(STRING,'Needs improvement',74,874)
LexToken(SEMICOLON,';',74,893)
LexToken(RBRACE,'}',75,897)
LexToken(COMMENT_LINE,'// Final output',77,902)
LexToken(ID,'print',78,920)
LexToken(LPARENTHESIS,'(',78,925)
LexToken(STRING,'Average score: $average',78,926)
LexToken(RPARENTHESIS,')',78,951)
LexToken(SEMICOLON,';',78,952)
LexToken(ID,'print',79,956)
LexToken(LPARENTHESIS,'(',79,961)
LexToken(STRING,'Result: $result',79,962)
LexToken(RPARENTHESIS,')',79,979)
LexToken(SEMICOLON,';',79,980)
LexToken(IF,'if',80,984)
LexToken(LPARENTHESIS,'(',80,987)
LexToken(ID,'comment',80,988)
LexToken(NOT_EQUALS,'!=',80,996)
LexToken(NULL,None,80,999)
LexToken(RPARENTHESIS,')',80,1003)
LexToken(LBRACE,'{',80,1005)
LexToken(ID,'print',81,1011)
LexToken(LPARENTHESIS,'(',81,1016)
LexToken(STRING,'Comment: $comment',81,1017)
LexToken(RPARENTHESIS,')',81,1036)
LexToken(SEMICOLON,';',81,1037)
LexToken(RBRACE,'}',82,1041)
LexToken(RBRACE,'}',83,1043)
